round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,flatten_layer,kernel_size,last_activation,losses,lr,optimizer,shapes
10,30.669925921638754,0.5924967527389526,18.391959646312777,0.5745979,<function relu at 0x1370a5d90>,128,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,17.2130862084274,0.4566623568534851,15.052459107196404,0.5707155,<function relu at 0x1370a5d90>,128,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,39.056761665146844,0.5342820286750793,29.751979213519952,0.5607321,<function relu at 0x1370a5d90>,128,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,14.587505699591988,0.5407503247261047,19.617601118283474,0.5712701,<function relu at 0x1370a5d90>,128,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,19.293830521202334,0.5730918645858765,13.606200243060746,0.5657238,<function relu at 0x1370a5d90>,128,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,24.21915823676145,0.43725743889808655,14.556165478326054,0.5640599,<function relu at 0x1370a5d90>,128,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,12.518353337612375,0.4734799563884735,6.394373540936479,0.61453134,<function relu at 0x1370a5d90>,128,0.0,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
25,15.293631077429609,0.4644243121147156,10.104545175401093,0.58402663,<function relu at 0x1370a5d90>,128,0.0,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,15.274177487115502,0.5122897624969482,9.686462883676876,0.583472,<function relu at 0x1370a5d90>,128,0.0,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
25,22.224698529360673,0.5937904119491577,21.850198241121163,0.55074877,<function relu at 0x1370a5d90>,128,0.0,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,33.190395817873856,0.45536869764328003,11.198618276742057,0.60621184,<function relu at 0x1370a5d90>,128,0.0,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
25,13.615329912686564,0.5575678944587708,14.932987486992157,0.6051026,<function relu at 0x1370a5d90>,128,0.0,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,9.849582485208844,0.5135834217071533,7.546091060934633,0.58291733,<function relu at 0x1370a5d90>,128,0.0,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
