,winner,loser,method,how,round,event_name,date,venue,city,country,attendance,url
444,Matt Hughes,Georges St-Pierre,submission,armbar,1.0,UFC 50: The War of '04,2004-10-22,Boardwalk Hall,atlantic city,usa,9000.0,https://en.wikipedia.org/wiki/UFC_50
445,Frank Trigg,Renato Verissimo,tko,elbows,2.0,UFC 50: The War of '04,2004-10-22,Boardwalk Hall,atlantic city,usa,9000.0,https://en.wikipedia.org/wiki/UFC_50
446,Evan Tanner,Robbie Lawler,submission,triangle choke,1.0,UFC 50: The War of '04,2004-10-22,Boardwalk Hall,atlantic city,usa,9000.0,https://en.wikipedia.org/wiki/UFC_50
447,Ivan Salaverry,Tony Fryklund,submission,body triangle,1.0,UFC 50: The War of '04,2004-10-22,Boardwalk Hall,atlantic city,usa,9000.0,https://en.wikipedia.org/wiki/UFC_50
448,Travis Lutter,Marvin Eastman,ko,punch,2.0,UFC 50: The War of '04,2004-10-22,Boardwalk Hall,atlantic city,usa,9000.0,https://en.wikipedia.org/wiki/UFC_50
449,Tito Ortiz,Vitor Belfort,decision,"29–28, 28–29, 29–28",3.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
450,Pete Sell,Phil Baroni,submission,guillotine choke,3.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
451,Andrei Arlovski,Tim Sylvia,submission,achilles lock,1.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
452,Evan Tanner,David Terrell,tko,punches,1.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
453,Paul Buentello,Justin Eilers,ko,punch,1.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
454,Mike Kyle,James Irvin,ko,punch,1.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
455,David Loiseau,Gideon Ray,tko,doctor stoppage,1.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
456,Karo Parisyan,Chris Lytle,decision,"30–27, 30–27, 30–27",3.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
457,Nick Diaz,Drew Fickett,tko,punches,1.0,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,las vegas,usa,11072.0,https://en.wikipedia.org/wiki/UFC_51
458,Rich Franklin,Ken Shamrock,tko,punches,1.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
459,Forrest Griffin,Stephan Bonnar,decision,unanimous,3.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
460,Diego Sanchez,Kenny Florian,tko,punches,1.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
461,Sam Hoger,Bobby Southworth,decision,unanimous,3.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
462,Chris Leben,Jason Thacker,tko,punches,1.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
463,Josh Koscheck,Chris Sanford,ko,punch,1.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
464,Nate Quarry,Lodune Sincaid,tko,punches,1.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
465,Mike Swick,Alex Schoenauer,ko,punch,1.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
466,Alex Karalexis,Josh Rafferty,tko,punches,1.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
467,Chuck Liddell,Randy Couture (c),ko,punches,1.0,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,las vegas,usa,14562.0,https://en.wikipedia.org/wiki/UFC_52
468,Renato Sobral,Travis Wiuff,submission,armbar,2.0,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,las vegas,usa,14562.0,https://en.wikipedia.org/wiki/UFC_52
469,Matt Hughes (c),Frank Trigg,submission,rearnaked choke,1.0,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,las vegas,usa,14562.0,https://en.wikipedia.org/wiki/UFC_52
470,Matt Lindland,Travis Lutter,submission,guillotine choke,2.0,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,las vegas,usa,14562.0,https://en.wikipedia.org/wiki/UFC_52
471,Georges St-Pierre,Jason Miller,decision,"30-27, 30-27, 30-27",3.0,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,las vegas,usa,14562.0,https://en.wikipedia.org/wiki/UFC_52
472,Ivan Salaverry,Joe Riggs,submission,triangle choke,1.0,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,las vegas,usa,14562.0,https://en.wikipedia.org/wiki/UFC_52
473,Joe Doerksen,Patrick Côté,submission,rearnaked choke,3.0,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,las vegas,usa,14562.0,https://en.wikipedia.org/wiki/UFC_52
474,Mike Van Arsdale,John Marsh,decision,unanimous,3.0,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,las vegas,usa,14562.0,https://en.wikipedia.org/wiki/UFC_52
475,Andrei Arlovski (ic),Justin Eilers,tko,punches,1.0,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,atlantic city,usa,12000.0,https://en.wikipedia.org/wiki/UFC_53
476,Karo Parisyan,Matt Serra,decision,"30–27, 30–27, 29–28",3.0,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,atlantic city,usa,12000.0,https://en.wikipedia.org/wiki/UFC_53
477,Rich Franklin,Evan Tanner (c),tko,doctor stoppage,4.0,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,atlantic city,usa,12000.0,https://en.wikipedia.org/wiki/UFC_53
478,Forrest Griffin,Bill Mahood,submission,rearnaked choke,1.0,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,atlantic city,usa,12000.0,https://en.wikipedia.org/wiki/UFC_53
479,Paul Buentello,Kevin Jordan,submission,guillotine choke exhaustion,1.0,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,atlantic city,usa,12000.0,https://en.wikipedia.org/wiki/UFC_53
480,Nate Quarry,Shonie Carter,tko,punches,1.0,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,atlantic city,usa,12000.0,https://en.wikipedia.org/wiki/UFC_53
481,David Loiseau,Charles McCarthy,tko,spinning back kick and flying knee,2.0,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,atlantic city,usa,12000.0,https://en.wikipedia.org/wiki/UFC_53
482,Nick Diaz,Koji Oishi,ko,punches,1.0,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,atlantic city,usa,12000.0,https://en.wikipedia.org/wiki/UFC_53
483,,,,,,UFC Ultimate Fight Night,2005-08-06,Cox Pavilion,las vegas,usa,,
484,Chuck Liddell (c),Jeremy Horn,tko,punches,4.0,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,las vegas,usa,13520.0,https://en.wikipedia.org/wiki/UFC_54
485,Tim Sylvia,Tra Telligman,ko,head kick,1.0,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,las vegas,usa,13520.0,https://en.wikipedia.org/wiki/UFC_54
486,Randy Couture,Mike Van Arsdale,submission,anaconda choke,3.0,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,las vegas,usa,13520.0,https://en.wikipedia.org/wiki/UFC_54
487,Diego Sanchez,Brian Gassaway,submission,punches,2.0,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,las vegas,usa,13520.0,https://en.wikipedia.org/wiki/UFC_54
488,Georges St-Pierre,Frank Trigg,submission,rearnaked choke,1.0,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,las vegas,usa,13520.0,https://en.wikipedia.org/wiki/UFC_54
489,Matt Lindland,Joe Doerksen,decision,unanimous,3.0,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,las vegas,usa,13520.0,https://en.wikipedia.org/wiki/UFC_54
490,Trevor Prangley,Travis Lutter,decision,unanimous,3.0,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,las vegas,usa,13520.0,https://en.wikipedia.org/wiki/UFC_54
491,James Irvin,Terry Martin,ko,flying knee,2.0,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,las vegas,usa,13520.0,https://en.wikipedia.org/wiki/UFC_54
492,David Loiseau,Evan Tanner,tko,doctor stoppage,2.0,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_2
493,Chris Leben,Edwin Dewees,submission,armbar,1.0,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_2
494,Brandon Vera,Fabiano Scherner,tko,knees,2.0,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_2
495,Drew Fickett,Josh Koscheck,technical submission,submission rearnaked choke,3.0,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_2
496,Spencer Fisher,Thiago Alves,submission,triangle choke,2.0,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_2
497,Jon Fitch,Brock Larson,decision,"30–27, 30–27, 30–27",3.0,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_2
498,Jonathan Goulet,Jay Hieron,tko,doctor stoppage,3.0,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_2
499,Andrei Arlovski (c),Paul Buentello,ko,punch,1.0,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,uncasville,usa,8000.0,https://en.wikipedia.org/wiki/UFC_55
500,Branden Lee Hinkle,Sean Gannon,tko,punches,1.0,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,uncasville,usa,8000.0,https://en.wikipedia.org/wiki/UFC_55
501,Forrest Griffin,Elvis Sinosic,tko,punches,1.0,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,uncasville,usa,8000.0,https://en.wikipedia.org/wiki/UFC_55
502,Renato Sobral,Chael Sonnen,submission,triangle choke,2.0,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,uncasville,usa,8000.0,https://en.wikipedia.org/wiki/UFC_55
503,Joe Riggs,Chris Lytle,tko,cut,2.0,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,uncasville,usa,8000.0,https://en.wikipedia.org/wiki/UFC_55
504,Jorge Rivera,Dennis Hallman,decision,"30–27, 30–27, 30–27",3.0,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,uncasville,usa,8000.0,https://en.wikipedia.org/wiki/UFC_55
505,Marcio Cruz,Keigo Kunihara,submission,rearnaked choke,2.0,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,uncasville,usa,8000.0,https://en.wikipedia.org/wiki/UFC_55
506,Alessio Sakara,Ron Faircloth,no contest,contest groin kick,2.0,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,uncasville,usa,8000.0,https://en.wikipedia.org/wiki/UFC_55
507,Diego Sanchez,Nick Diaz,decision,"30–27, 30–27, 30–27",3.0,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_2_Finale
508,Rashad Evans,Brad Imes,decision,"29–28, 29–28, 28–29",3.0,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_2_Finale
509,Joe Stevenson,Luke Cummo,decision,"29–28, 30–27, 29–28",3.0,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_2_Finale
510,Kenny Florian,Kit Cope,submission,rearnaked choke,2.0,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_2_Finale
511,Josh Burkman,Sam Morgan,ko,slam,1.0,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_2_Finale
512,Melvin Guillard,Marcus Davis,tko,doctor stoppage,2.0,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_2_Finale
513,Keith Jardine,Kerry Schall,tko,leg kicks,2.0,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,las vegas,usa,,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_2_Finale
514,Rich Franklin (c),Nate Quarry,ko,punch,1.0,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,las vegas,usa,12000.0,https://en.wikipedia.org/wiki/UFC_56
515,Gabriel Gonzaga,Kevin Jordan,ko,superman punch,3.0,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,las vegas,usa,12000.0,https://en.wikipedia.org/wiki/UFC_56
516,Matt Hughes (c),Joe Riggs,submission,kimura,1.0,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,las vegas,usa,12000.0,https://en.wikipedia.org/wiki/UFC_56
517,Georges St-Pierre,Sean Sherk,tko,punches and elbows,2.0,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,las vegas,usa,12000.0,https://en.wikipedia.org/wiki/UFC_56
518,Jeremy Horn,Trevor Prangley,decision,"29–28, 29–28, 29–28",3.0,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,las vegas,usa,12000.0,https://en.wikipedia.org/wiki/UFC_56
519,Sam Hoger,Jeff Newton,submission,rearnaked choke,2.0,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,las vegas,usa,12000.0,https://en.wikipedia.org/wiki/UFC_56
520,Thiago Alves,Ansar Chalangov,tko,punches,1.0,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,las vegas,usa,12000.0,https://en.wikipedia.org/wiki/UFC_56
521,Nick Thompson,Keith Wisniewski,decision,"30–27, 30–27, 30–27",3.0,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,las vegas,usa,12000.0,https://en.wikipedia.org/wiki/UFC_56
522,Tim Sylvia,Assuerio Silva,decision,"30–27, 30–27, 29–28",3.0,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,las vegas,usa,1008.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
523,Stephan Bonnar,James Irvin,submission,kimura,1.0,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,las vegas,usa,1008.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
524,Josh Burkman,Drew Fickett,submission,guillotine choke,1.0,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,las vegas,usa,1008.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
525,Chris Leben,Jorge Rivera,tko,punches,1.0,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,las vegas,usa,1008.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
526,Josh Neer,Melvin Guillard,submission,triangle choke,1.0,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,las vegas,usa,1008.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
527,Duane Ludwig,Jonathan Goulet,ko,punch,1.0,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,las vegas,usa,1008.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
528,Spencer Fisher,Aaron Riley,tko,doctor stoppage,1.0,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,las vegas,usa,1008.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
529,Jason Von Flue,Alex Karalexis,technical submission,submission von flue choke,3.0,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,las vegas,usa,1008.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
530,Chuck Liddell (c),Randy Couture,ko,punches,2.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
531,Brandon Vera,Justin Eilers,ko,head kick and knee,1.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
532,Marcio Cruz,Frank Mir,tko,punches and elbows,1.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
533,Renato Sobral,Mike Van Arsdale,submission,rearnaked choke,1.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
534,Joe Riggs,Nick Diaz,decision,"29–28, 29–28, 30–27",3.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
535,Alessio Sakara,Elvis Sinosic,decision,"29–25, 29–26, 29–26",3.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
536,Paul Buentello,Gilbert Aldana,tko,punches,2.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
537,Jeff Monson,Branden Lee Hinkle,technical submission,submission northsouth choke,1.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
538,Keith Jardine,Mike Whitehead,decision,"29–28, 29–28, 29–28",3.0,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,las vegas,usa,10659.0,https://en.wikipedia.org/wiki/UFC_57
539,Rich Franklin (c),David Loiseau,decision,"50–43, 50–43, 50–42",5.0,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,las vegas,usa,9569.0,https://en.wikipedia.org/wiki/UFC_58
540,Mike Swick,Steve Vigneault,submission,guillotine choke,1.0,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,las vegas,usa,9569.0,https://en.wikipedia.org/wiki/UFC_58
541,Georges St-Pierre,B.J. Penn,decision,"29–28, 28–29, 29–28",3.0,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,las vegas,usa,9569.0,https://en.wikipedia.org/wiki/UFC_58
542,Nate Marquardt,Joe Doerksen,decision,"30–27, 30–27, 30–27",3.0,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,las vegas,usa,9569.0,https://en.wikipedia.org/wiki/UFC_58
543,Mark Hominick,Yves Edwards,submission,triangle armbar,2.0,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,las vegas,usa,9569.0,https://en.wikipedia.org/wiki/UFC_58
544,Sam Stout,Spencer Fisher,decision,"29–28, 29–28, 28–29",3.0,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,las vegas,usa,9569.0,https://en.wikipedia.org/wiki/UFC_58
545,Jason Lambert,Rob MacDonald,submission,kimura,1.0,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,las vegas,usa,9569.0,https://en.wikipedia.org/wiki/UFC_58
546,Tom Murphy,Icho Larenas,tko,punches,3.0,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,las vegas,usa,9569.0,https://en.wikipedia.org/wiki/UFC_58
547,Stephan Bonnar,Keith Jardine,decision,"29–28, 29–28, 29–28",3.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
548,Rashad Evans,Sam Hoger,decision,"28–29, 30–27, 29–28",3.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
549,Josh Neer,Joe Stevenson,decision,"29–28, 29–28, 29–28",3.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
550,Chris Leben,Luigi Fioravanti,decision,"30–27, 30–27, 30–27",3.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
551,Luke Cummo,Jason Von Flue,decision,"30–27, 30–26, 30–27",3.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
552,Jon Fitch,Josh Burkman,submission,rearnaked choke,2.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
553,Dan Christison,Brad Imes,submission,armbar,3.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
554,Josh Koscheck,Ansar Chalangov,submission,rearnaked choke,1.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
555,Chael Sonnen,Trevor Prangley,decision,"30–27, 30–27, 30–27",3.0,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,las vegas,usa,843.0,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
556,Tim Sylvia,Andrei Arlovski (c),tko,punches,1.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
557,Sean Sherk,Nick Diaz,decision,"30–27, 30–27, 30–27",3.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
558,Tito Ortiz,Forrest Griffin,decision,"30–27, 28–29, 29–27",3.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
559,Evan Tanner,Justin Levens,submission,triangle choke,1.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
560,Jeff Monson,Marcio Cruz,decision,"30–27, 29–28, 28–29",3.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
561,Karo Parisyan,Nick Thompson,submission,punches,1.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
562,David Terrell,Scott Smith,submission,rearnaked choke,1.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
563,Jason Lambert,Terry Martin,tko,punches,2.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
564,Thiago Alves,Derrick Noble,tko,punches,1.0,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,anaheim,usa,13814.0,https://en.wikipedia.org/wiki/UFC_59
565,Matt Hughes,Royce Gracie,tko,punches,1.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
566,Dean Lister,Alessio Sakara,submission,triangle choke,1.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
567,Diego Sanchez,John Alessio,decision,"30–27, 29–28, 29–28",3.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
568,Brandon Vera,Assuerio Silva,submission,guillotine choke,1.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
569,Mike Swick,Joe Riggs,submission,guillotine choke,1.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
570,Jeremy Horn,Chael Sonnen,submission,armbar,2.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
571,Spencer Fisher,Matt Wiman,ko,flying knee,2.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
572,Gabriel Gonzaga,Fabiano Scherner,tko,punches,2.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
573,Melvin Guillard,Rick Davis,ko,punch,1.0,UFC 60: Hughes vs. Gracie,2006-05-27,Staples Center,los angeles,usa,14765.0,https://en.wikipedia.org/wiki/UFC_60
