,round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes,precision,recall,fbeta_score,support
82,10,0.7463617353603758,0.5321838855743408,0.5550167759259542,0.6908283829689026,<function relu at 0x7fbc08d68620>,128,0.1,10,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6261261261261262,0.535645472061657,0.5773624091381101,
17,25,2.312467686335246,0.5310344696044922,0.04952591597754692,0.9778106212615967,<function relu at 0x7fbc08d68620>,64,0.01,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6025878003696857,0.628131021194605,0.6150943396226414,
59,10,0.830801647147913,0.5298850536346436,0.49701678864584403,0.7608481049537659,<function relu at 0x7fbc08d68620>,128,0.01,10,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.625,0.5298651252408478,0.5735140771637122,
105,10,0.7069007839279613,0.5287356376647949,0.7016153032257713,0.5147929191589355,<function relu at 0x7fbc08d68620>,256,0.01,10,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.6264501160092807,0.5202312138728323,0.5684210526315789,
60,25,0.7477005859901165,0.5275862216949463,0.7297128609416518,0.5567061305046082,<function relu at 0x7fbc08d68620>,128,0.01,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.5947368421052631,0.653179190751445,0.6225895316804408,
14,25,1.4222779643946681,0.5275862216949463,0.2423571247673599,0.9215976595878601,<function relu at 0x7fbc08d68620>,64,0.01,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6158798283261803,0.5529865125240848,0.582741116751269,
117,25,0.7172657825480933,0.5241379141807556,0.709315621171007,0.5197238922119141,<function relu at 0x7fbc08d68620>,256,0.01,25,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.624113475177305,0.5086705202312138,0.5605095541401274,
134,25,0.8444060862749473,0.5241379141807556,0.4947313564651346,0.7416173815727234,<function relu at 0x7fbc08d68620>,256,0.1,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6164079822616408,0.535645472061657,0.5731958762886598,
67,25,1.020064010291264,0.5218390822410583,0.40354114335904695,0.8170611262321472,<function relu at 0x7fbc08d68620>,128,0.01,25,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6173120728929385,0.5221579961464354,0.5657620041753654,
29,10,0.8416039344908177,0.5183908343315125,0.5135540803508646,0.7366864085197449,<function relu at 0x7fbc08d68620>,64,0.1,10,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6020408163265306,0.5684007707129094,0.5847373637264619,
