round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
1,159.05912561651036,0.5368693470954895,355.42906577416545,0.50471437,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,123.48650974999116,0.5394566655158997,411.93233314382985,0.50804216,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,118.24059411131549,0.5523932576179504,320.13940912078505,0.509706,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,212.03239034280122,0.47218629717826843,670.9784175557556,0.50305045,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,106.26451866870401,0.5485122799873352,370.4809341472979,0.5019412,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,178.69799859958664,0.5472186207771301,377.471424054121,0.52689964,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,100.01088853764503,0.5032341480255127,313.6376748320399,0.5174709,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,93.08347107367867,0.4902975559234619,362.7677902585589,0.5302274,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,143.56606250284253,0.5510995984077454,274.60645917489404,0.5252357,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,143.72714160361542,0.5226390957832336,256.38723271962874,0.5124792,<function relu at 0x1370a5d90>,64,0.16666666666666666,10,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,291.7682965711665,0.5420439839363098,584.184802621851,0.5019412,<function relu at 0x1370a5d90>,64,0.16666666666666666,20,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
