winner,loser,method,how,round,event_name,date,venue,city,country,attendance,url
Jon Jones ,Alexander Gustafsson,decision,"48–47, 48–47, 49–46",5.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Renan Barão ,Eddie Wineland,tko,spinning back kick and punches,2.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Brendan Schaub,Matt Mitrione,submission,darce choke,1.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Francis Carmont,Costas Philippou,decision,"30–27, 30–27, 30–26",3.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Khabib Nurmagomedov,Pat Healy,decision,"30–27, 30–27, 30–27",3.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Myles Jury,Mike Ricci,decision,"29–28, 28–29, 29–28",3.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Wilson Reis,Ivan Menjivar,decision,"29–28, 29–28, 29–28",3.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Stephen Thompson,Chris Clements,ko,punches,2.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Mitch Gagnon,Dustin Kimura,submission,guillotine choke,1.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
John Makdessi,Renée Forte,ko,punches,1.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Michel Prazeres,Jesse Ronson,decision,"28–29, 29–28, 29–28",3.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Alex Caceres,Roland Delorme,decision,"29–28, 28–29, 29–28",3.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Daniel Omielańczuk,Nandor Guelmino,ko,punch,3.0,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,toronto,canada,15504.0,https://en.wikipedia.org/wiki/UFC_165
Jake Shields,Demian Maia,decision,"48–47, 47–48, 48–47",5.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Dong Hyun Kim,Erick Silva,ko,punch,2.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Thiago Silva,Matt Hamill,decision,"30–27, 30–27, 29–27",3.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Fabio Maldonado,Joey Beltran,decision,"28–29, 29–28, 29–28",3.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Rousimar Palhares,Mike Pierce,submission,heel hook,1.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Raphael Assunção,T.J. Dillashaw,decision,"28–29, 29–28, 29–28",3.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Igor Araújo,Ildemar Alcantara,decision,"29–28, 29–28, 29–28",3.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Yan Cabral,David Mitchell,decision,"30–27, 30–27, 30–27",3.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Chris Cariaso,Iliarde Santos,tko,punches,2.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Alan Patrick,Garett Whiteley,tko,punches,1.0,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,barueri,brazil,6621.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
Cain Velasquez ,Junior dos Santos,tko,slam and punch,5.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Daniel Cormier,Roy Nelson,decision,"30–27, 30–27, 30–27",3.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Gilbert Melendez,Diego Sanchez,decision,"29–28, 30–27, 29–28",3.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Gabriel Gonzaga,Shawn Jordan,ko,punches,1.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
John Dodson,Darrell Montague,ko,punch,1.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Tim Boetsch,C.B. Dollaway,decision,"30–26, 27–29, 30–26",3.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Hector Lombard,Nate Marquardt,ko,punches,1.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Jessica Eye,Sarah Kaufman,no contest,contest overturned,3.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
K.J. Noons,George Sotiropoulos,decision,"29–28, 29–28, 30–27",3.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Adlan Amagov,TJ Waldburger,ko,punches,1.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Tony Ferguson,Mike Rio,submission,darce choke,1.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Andre Fili,Jeremy Larsen,tko,punches,2.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Kyoji Horiguchi,Dustin Pague,tko,punches,2.0,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,houston,usa,17238.0,https://en.wikipedia.org/wiki/UFC_166
Lyoto Machida,Mark Muñoz,ko,head kick,1.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Ross Pearson,Melvin Guillard,no contest,contest illegal knee,1.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Jimi Manuwa,Ryan Jimmo,tko,injury,2.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Norman Parke,Jon Tuck,decision,"29–28, 29–28, 30–27",3.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Nico Musoke,Alessio Sakara,submission,armbar,1.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
John Lineker,Phil Harris,tko,punches,1.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Al Iaquinta,Piotr Hallmann,decision,"29–28, 30–27, 30–27",3.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Luke Barnatt,Andrew Craig,submission,rearnaked choke,2.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Jéssica Andrade,Rosi Sexton,decision,"30–26, 30–27, 30–26",3.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Cole Miller,Andy Ogle,decision,"29–28, 29–28, 29–28",3.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Jimy Hettes,Robert Whiteford,submission,triangle choke,2.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Brad Scott,Michael Kuiper,submission,standing guillotine choke,1.0,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,manchester,uk,10355.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
Tim Kennedy,Rafael Natal,tko,punch,1.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Alexis Davis,Liz Carmouche,decision,"30–27, 30–27, 29–28",3.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Yoel Romero,Ronny Markes,tko,punches,3.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Rustam Khabilov,Jorge Masvidal,decision,"30–27, 29–28, 30–27",3.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Michael Chiesa,Colton Smith,submission,rearnaked choke,2.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Bobby Green,James Krause,tko,body kick,1.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Francisco Rivera,George Roop,tko,punches,2.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Dennis Bermudez,Steven Siler,decision,"30–27, 30–27, 30–27",3.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Amanda Nunes,Germaine de Randamie,tko,elbows,1.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Lorenz Larkin,Chris Camozzi,decision,"30–27, 30–27, 29–28",3.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Yancy Medeiros,Yves Edwards,no contest,contest overturned,1.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Seth Baczynski,Neil Magny,decision,"29–28, 29–28, 29–28",3.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Derek Brunson,Brian Houston,submission,rearnaked choke,1.0,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,fort campbell,usa,,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
Vitor Belfort,Dan Henderson,ko,head kick,1.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Cezar Ferreira,Daniel Sarafian,decision,"28–29, 30–27, 30–28",3.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Rafael Cavalcante,Igor Pokrajac,submission,strikes,1.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Brandon Thatch,Paulo Thiago,submission,strikes,1.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Ryan LaFlare,Santiago Ponzinibbio,decision,"30–27, 30–27, 30–27",3.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Jeremy Stephens,Rony Jason,ko,head kick,1.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Sam Sicilia,Godofredo Pepey,tko,punches,1.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Omari Akhmedov,Thiago Perpétuo,ko,punches,1.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Thiago Tavares,Justin Salas,submission,rearnaked choke,1.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Adriano Martins,Daron Cruickshank,submission,straight armbar,2.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Dustin Ortiz,Jose Maria Tome,tko,punches,3.0,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,goiânia,brazil,10565.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
Georges St-Pierre ,Johny Hendricks,decision,"47–48, 48–47, 48–47",5.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Rashad Evans,Chael Sonnen,tko,punches,1.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Robbie Lawler,Rory MacDonald,decision,"29–28, 28–29, 29–28",3.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Tyron Woodley,Josh Koscheck,ko,punches,1.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Ali Bagautinov,Tim Elliott,decision,"29–28, 29–28, 30–27",3.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Donald Cerrone,Evan Dunham,submission,triangle choke,2.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Thales Leites,Ed Herman,decision,"30–27, 30–27, 30–27",3.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Rick Story,Brian Ebersole,decision,"30–27, 30–27, 30–27",3.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Érik Pérez,Edwin Figueroa,decision,"30–27, 30–27, 30–27",3.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Jason High,Anthony Lapsley,decision,"29–28, 29–28, 29–28",3.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Sergio Pettis,Will Campuzano,decision,"30–27, 30–27, 29–28",3.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Gian Villante,Cody Donovan,tko,punches,2.0,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,las vegas,usa,14856.0,https://en.wikipedia.org/wiki/UFC_167
Nate Diaz,Gray Maynard,tko,punches,1.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Julianna Peña,Jessica Rakoczy,tko,punches and elbows,1.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Chris Holdsworth,Davey Grant,submission,rearnaked choke,2.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Jessamyn Duke,Peggy Morgan,decision,"30–27, 30–27, 30–27",3.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Raquel Pennington,Roxanne Modafferi,decision,"30–27, 30–27, 29–28",3.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Akira Corassani,Maximo Blanco,disqualification,illegal knee,1.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Tom Niinimäki,Rani Yahya,decision,"29–28, 28–29, 30–27",3.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Jared Rosholt,Walt Harris,decision,"29–28, 29–28, 29–28",3.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Sean Spencer,Drew Dober,decision,"30–27, 30–27, 30–27",3.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Josh Sampo,Ryan Benoit,submission,rearnaked choke,2.0,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,las vegas,usa,4853.0,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
Mark Hunt,Antônio Silva,draw,majority,5.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Maurício Rua,James Te Huna,ko,punch,1.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Ryan Bader,Anthony Perosh,decision,"30–27, 30–27, 30–26",3.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Soa Palelei,Pat Barry,ko,punches,1.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Clint Hester,Dylan Andrews,tko,doctor stoppage,2.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Bethe Correia,Julie Kedzie,decision,"29–28, 28–29, 29–28",3.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Takeya Mizugaki,Nam Phan,decision,"29–28, 29–28, 30–28",3.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Caio Magalhaes,Nick Ring,decision,"29–28, 29–28, 29–28",3.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Justin Scoggins,Richie Vaculik,tko,punches,1.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Krzysztof Jotko,Bruno Santos,decision,"29–28, 29–28, 30–27",3.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Alex Garcia,Ben Wall,ko,punches,1.0,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,brisbane,australia,11393.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
Demetrious Johnson ,Joseph Benavidez,ko,punch,1.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
Urijah Faber,Michael McDonald,submission,guillotine choke,2.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
Chad Mendes,Nik Lentz,decision,"30–27, 30–27, 29–28",3.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
Joe Lauzon,Mac Danzig,decision,"30–27, 30–27, 30–27",3.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
Ryan LaFlare,Court McGee,decision,"29–28, 29–28, 29–28",3.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
Edson Barboza,Danny Castillo,decision,"29–28, 29–28, 28–28",3.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
Bobby Green,Pat Healy,decision,"30–27, 30–27, 29–28",3.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
Zach Makovsky,Scott Jorgensen,decision,"30–27, 30–27, 30–27",3.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
Sam Stout,Cody McKenzie,decision,"30–27, 30–27, 30–27",3.0,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,sacramento,usa,11573.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
